# Dependencies for design1041
# Analyse and report dependencies of modules.

# Summary Information
# Timestamp	Sun Apr 24 08:52:35 NZST 2022
# Tool	mete-analysis(dependencies):20170202T1945
# System	design1041
# Codebase	./../grad006-03/design1041/design1041

# Attribute Descriptions
# 1	Source	The name of the module the dependency is from.
# 2	Package	The package the source module belongs to. Provided for convenience as it is part of the source name
# 3	Kind	Modules are classified into 1 of 5 'Kinds': Class, Interface, Enum, Annotation, Exception. 
# 4	Modifiers	The modifiers for the source module (comma separated).
# 5	Target	The name of the module the dependency is to.
# 6	Package	The package the target module belongs to. Provided for convenience as it is part of the target name
# 7	Kind	Modules are classified into 1 of 5 'Kinds': Class, Interface, Enum, Annotation, Exception. 
# 8	Category	Dependencies are classified according to what kind of dependency they represent.
# 9	Area	Classification of the area of the source module the dependency originates from.
# 10	Details	More details of the origin of the dependency. Typically formatted text.
# 11	Locations	Even more details of the origin of the dependency. Typically formatted text.
# 12	Target	Information about the target of the dependency within the target module, if such makes sense.
# 13	Visibility	The degree to which the dependency is visible outside the source module
# 14	Inheritance	In what way is the dependency due to inheritance (if it is)

# Data
# Source	Package	Kind	Modifiers	Target	Package	Kind	Category	Area	Details	Locations	Target	Visibility	Inheritance
print.TwoPlayerBoardPrinter	print	Class	public	java.lang.StringBuilder*	java.lang	Class	InvokeInstance	Method	print.TwoPlayerBoardPrinter#private java.lang.String leftPad(int) {}	4,8	java.lang.StringBuilder#java.lang.String toString() <>*	Private	None
print.TwoPlayerBoardPrinter	print	Class	public	java.lang.String*	java.lang	Class	Parameter	Method	print.TwoPlayerBoardPrinter#private java.lang.String formatHouseString(java.lang.String,int,int) {}	0	To whole module	Private	None
print.TwoPlayerBoardPrinter	print	Class	public	int*		Primitive	Parameter	Method	print.TwoPlayerBoardPrinter#private java.lang.String formatHouseString(java.lang.String,int,int) {}	1,2	To whole module	Private	None
print.TwoPlayerBoardPrinter	print	Class	public	java.lang.String*	java.lang	Class	Return	Method	print.TwoPlayerBoardPrinter#private java.lang.String formatHouseString(java.lang.String,int,int) {}		To whole module	Private	None
print.TwoPlayerBoardPrinter	print	Class	public	print.TwoPlayerBoardPrinter	print	Class	InvokeInstance	Method	print.TwoPlayerBoardPrinter#private java.lang.String formatHouseString(java.lang.String,int,int) {}	1	print.TwoPlayerBoardPrinter#int convertToPrintValue(int) <>*	Private	None
print.TwoPlayerBoardPrinter	print	Class	public	print.BoardPrinter	print	Class	InvokeInstance	Method	print.TwoPlayerBoardPrinter#private java.lang.String formatHouseString(java.lang.String,int,int) {}	1	print.BoardPrinter#protected int convertToPrintValue(int) {}	Private	Inherited
print.TwoPlayerBoardPrinter	print	Class	public	print.TwoPlayerBoardPrinter	print	Class	InvokeSpecial	Method	print.TwoPlayerBoardPrinter#private java.lang.String formatHouseString(java.lang.String,int,int) {}	2	print.TwoPlayerBoardPrinter#private java.lang.String leftPad(int) {}	Private	None
print.TwoPlayerBoardPrinter	print	Class	public	java.lang.String*	java.lang	Class	InvokeStatic	Method	print.TwoPlayerBoardPrinter#private java.lang.String formatHouseString(java.lang.String,int,int) {}	4	java.lang.String#java.lang.String format(java.lang.String,java.lang.Object[]) <>*	Private	None
print.TwoPlayerBoardPrinter	print	Class	public	java.lang.StringBuilder*	java.lang	Class	Parameter	Method	print.TwoPlayerBoardPrinter#private void trim(java.lang.StringBuilder) {}	0	To whole module	Private	None
print.TwoPlayerBoardPrinter	print	Class	public	void*		Primitive	Return	Method	print.TwoPlayerBoardPrinter#private void trim(java.lang.StringBuilder) {}		To whole module	Private	None
print.TwoPlayerBoardPrinter	print	Class	public	java.lang.StringBuilder*	java.lang	Class	InvokeInstance	Method	print.TwoPlayerBoardPrinter#private void trim(java.lang.StringBuilder) {}	1	java.lang.StringBuilder#int length() <>*	Private	None
print.TwoPlayerBoardPrinter	print	Class	public	java.lang.StringBuilder*	java.lang	Class	InvokeInstance	Method	print.TwoPlayerBoardPrinter#private void trim(java.lang.StringBuilder) {}	2	java.lang.StringBuilder#void setLength(int) <>*	Private	None
kalah.Row	kalah	Class	public	java.lang.Object*	java.lang	Class	Extends	Header			To whole module	Public	None
kalah.Row	kalah	Class	public	int*		Primitive	Parameter	Constructor	kalah.Row#public <init>(int,int) {}	0,1	To whole module	Public	None
kalah.Row	kalah	Class	public	int*		Primitive	Local	Constructor	kalah.Row#public <init>(int,int) {}	0	To whole module	Private	None
kalah.Row	kalah	Class	public	java.lang.Object*	java.lang	Class	InvokeSuper	Method	kalah.Row#public <init>(int,int) {}	1	java.lang.Object#public <init>() <>*	Private	None
kalah.Row	kalah	Class	public	kalah.Row	kalah	Class	Put	Method	kalah.Row#public <init>(int,int) {}	2	kalah.Row#private int[] houses	Private	None
kalah.Row	kalah	Class	public	kalah.Row	kalah	Class	Get	Method	kalah.Row#public <init>(int,int) {}	3	kalah.Row#private int[] houses	Private	None
kalah.Row	kalah	Class	public	kalah.Row	kalah	Class	Put	Method	kalah.Row#public <init>(int,int) {}	4	kalah.Row#private int store	Private	None
kalah.Row	kalah	Class	public	int*		Primitive	Parameter	Method	kalah.Row#public int takeSeeds(int) {}	0	To whole module	Public	None
kalah.Row	kalah	Class	public	int*		Primitive	Return	Method	kalah.Row#public int takeSeeds(int) {}		To whole module	Public	None
kalah.Row	kalah	Class	public	int*		Primitive	Local	Method	kalah.Row#public int takeSeeds(int) {}	0	To whole module	Private	None
kalah.Row	kalah	Class	public	kalah.Row	kalah	Class	Get	Method	kalah.Row#public int takeSeeds(int) {}	1,2	kalah.Row#private int[] houses	Private	None
kalah.Row	kalah	Class	public	int*		Primitive	Parameter	Method	kalah.Row#public int insertSeed(int) {}	0	To whole module	Public	None
kalah.Row	kalah	Class	public	int*		Primitive	Return	Method	kalah.Row#public int insertSeed(int) {}		To whole module	Public	None
kalah.Row	kalah	Class	public	java.lang.IllegalArgumentException*	java.lang	Exception	InvokeSpecial	Method	kalah.Row#public int insertSeed(int) {}	7	java.lang.IllegalArgumentException#<init>(java.lang.String) <>*	Private	None
kalah.Row	kalah	Class	public	kalah.Row	kalah	Class	Get	Method	kalah.Row#public int insertSeed(int) {}	1,2,3,4	kalah.Row#private int[] houses	Private	None
kalah.Row	kalah	Class	public	kalah.Row	kalah	Class	Put	Method	kalah.Row#public int insertSeed(int) {}	6	kalah.Row#private int store	Private	None
kalah.Row	kalah	Class	public	kalah.Row	kalah	Class	Get	Method	kalah.Row#public int insertSeed(int) {}	5	kalah.Row#private int store	Private	None
kalah.Row	kalah	Class	public	int*		Primitive	Parameter	Method	kalah.Row#public void addToStore(int) {}	0	To whole module	Public	None
kalah.Row	kalah	Class	public	void*		Primitive	Return	Method	kalah.Row#public void addToStore(int) {}		To whole module	Public	None
kalah.Row	kalah	Class	public	kalah.Row	kalah	Class	Put	Method	kalah.Row#public void addToStore(int) {}	2	kalah.Row#private int store	Private	None
kalah.Row	kalah	Class	public	kalah.Row	kalah	Class	Get	Method	kalah.Row#public void addToStore(int) {}	1	kalah.Row#private int store	Private	None
kalah.Row	kalah	Class	public	int*		Primitive	Return	Method	kalah.Row#public int[] getHouses() {}		To whole module	Public	None
kalah.Row	kalah	Class	public	kalah.Row	kalah	Class	Get	Method	kalah.Row#public int[] getHouses() {}	1	kalah.Row#private int[] houses	Private	None
kalah.Row	kalah	Class	public	int*		Primitive	Return	Method	kalah.Row#public int getStore() {}		To whole module	Public	None
kalah.Row	kalah	Class	public	kalah.Row	kalah	Class	Get	Method	kalah.Row#public int getStore() {}	1	kalah.Row#private int store	Private	None
kalah.Row	kalah	Class	public	int*		Primitive	Return	Method	kalah.Row#public int getScore() {}		To whole module	Public	None
kalah.Row	kalah	Class	public	int*		Primitive	Local	Method	kalah.Row#public int getScore() {}	0,1	To whole module	Private	None
kalah.Row	kalah	Class	public	kalah.Row	kalah	Class	Get	Method	kalah.Row#public int getScore() {}	1,2	kalah.Row#private int[] houses	Private	None
kalah.Row	kalah	Class	public	kalah.Row	kalah	Class	Get	Method	kalah.Row#public int getScore() {}	3	kalah.Row#private int store	Private	None
kalah.Row	kalah	Class	public	int*		Primitive	Field	Field	kalah.Row#private int[] houses		To whole module	Private	None
kalah.Row	kalah	Class	public	int*		Primitive	Field	Field	kalah.Row#private int store		To whole module	Private	None
kalah.Board	kalah	Class	public	java.lang.Object*	java.lang	Class	Extends	Header			To whole module	Public	None
kalah.Board	kalah	Class	public	int*		Primitive	Parameter	Constructor	kalah.Board#public <init>(int,int,int,print.BoardPrinter) {}	0,1,2	To whole module	Public	None
kalah.Board	kalah	Class	public	print.BoardPrinter	print	Class	Parameter	Constructor	kalah.Board#public <init>(int,int,int,print.BoardPrinter) {}	3	To whole module	Public	None
kalah.Board	kalah	Class	public	int*		Primitive	Local	Constructor	kalah.Board#public <init>(int,int,int,print.BoardPrinter) {}	0	To whole module	Private	None
kalah.Board	kalah	Class	public	java.lang.Object*	java.lang	Class	InvokeSuper	Method	kalah.Board#public <init>(int,int,int,print.BoardPrinter) {}	1	java.lang.Object#public <init>() <>*	Private	None
kalah.Board	kalah	Class	public	kalah.Row	kalah	Class	InvokeSpecial	Method	kalah.Board#public <init>(int,int,int,print.BoardPrinter) {}	7	kalah.Row#public <init>(int,int) {}	Private	None
kalah.Board	kalah	Class	public	kalah.Board	kalah	Class	Put	Method	kalah.Board#public <init>(int,int,int,print.BoardPrinter) {}	2	kalah.Board#private final int numHouses	Private	None
kalah.Board	kalah	Class	public	kalah.Board	kalah	Class	Put	Method	kalah.Board#public <init>(int,int,int,print.BoardPrinter) {}	4	kalah.Board#private int playerTurn	Private	None
kalah.Board	kalah	Class	public	kalah.Board	kalah	Class	Put	Method	kalah.Board#public <init>(int,int,int,print.BoardPrinter) {}	3	kalah.Board#private final print.BoardPrinter printer	Private	None
kalah.Board	kalah	Class	public	kalah.Board	kalah	Class	Put	Method	kalah.Board#public <init>(int,int,int,print.BoardPrinter) {}	5	kalah.Board#private final kalah.Row[] rows	Private	None
kalah.Board	kalah	Class	public	kalah.Board	kalah	Class	Get	Method	kalah.Board#public <init>(int,int,int,print.BoardPrinter) {}	6	kalah.Board#private final kalah.Row[] rows	Private	None
kalah.Board	kalah	Class	public	int*		Primitive	Parameter	Method	kalah.Board#public boolean doMove(int) {}	0	To whole module	Public	None
kalah.Board	kalah	Class	public	boolean*		Primitive	Return	Method	kalah.Board#public boolean doMove(int) {}		To whole module	Public	None
kalah.Board	kalah	Class	public	int*		Primitive	Local	Method	kalah.Board#public boolean doMove(int) {}	0,1,2,4,5,6,7	To whole module	Private	None
kalah.Board	kalah	Class	public	kalah.Row	kalah	Class	Local	Method	kalah.Board#public boolean doMove(int) {}	3	To whole module	Private	None
kalah.Board	kalah	Class	public	boolean*		Primitive	Local	Method	kalah.Board#public boolean doMove(int) {}	8,9	To whole module	Private	None
kalah.Board	kalah	Class	public	kalah.Row	kalah	Class	InvokeInstance	Method	kalah.Board#public boolean doMove(int) {}	5,15,16	kalah.Row#public int takeSeeds(int) {}	Private	None
kalah.Board	kalah	Class	public	kalah.Board	kalah	Class	InvokeSpecial	Method	kalah.Board#public boolean doMove(int) {}	8,20	kalah.Board#private int getNextPlayer(int,int) {}	Private	None
kalah.Board	kalah	Class	public	kalah.Row	kalah	Class	InvokeInstance	Method	kalah.Board#public boolean doMove(int) {}	10	kalah.Row#public int insertSeed(int) {}	Private	None
kalah.Board	kalah	Class	public	kalah.Row	kalah	Class	InvokeInstance	Method	kalah.Board#public boolean doMove(int) {}	17	kalah.Row#public void addToStore(int) {}	Private	None
kalah.Board	kalah	Class	public	kalah.Board	kalah	Class	Get	Method	kalah.Board#public boolean doMove(int) {}	18,11,14,7,6	kalah.Board#private final int numHouses	Private	None
kalah.Board	kalah	Class	public	kalah.Board	kalah	Class	Put	Method	kalah.Board#public boolean doMove(int) {}	21	kalah.Board#private int playerTurn	Private	None
kalah.Board	kalah	Class	public	kalah.Board	kalah	Class	Get	Method	kalah.Board#public boolean doMove(int) {}	2,3,4,19	kalah.Board#private int playerTurn	Private	None
kalah.Board	kalah	Class	public	kalah.Board	kalah	Class	Get	Method	kalah.Board#public boolean doMove(int) {}	9,1,13,12	kalah.Board#private final kalah.Row[] rows	Private	None
kalah.Board	kalah	Class	public	int*		Primitive	Parameter	Method	kalah.Board#private int getNextPlayer(int,int) {}	0,1	To whole module	Private	None
kalah.Board	kalah	Class	public	int*		Primitive	Return	Method	kalah.Board#private int getNextPlayer(int,int) {}		To whole module	Private	None
