#TITLE	NCLOC for design1041
#SUMMARY	Non-comment non-blank lines of code per top-level module

##Dataset attributes
Timestamp	20220424 08:47:59 NZST
Tool	loc.pl 20170704T0800
System	design1041
Codebase	../grad006-03/design1041/src

##Measurements
#Metadata
NCLOC	UnboundedCount	Non-comment non-blank lines of code for module (first line with simple name to line with closing brace)
#Data
#Entity	NCLOC
kalah.Board	94
kalah.Kalah	33
kalah.Row	43
print.BoardPrinter	30
print.TwoPlayerBoardPrinter	53
